status,attention_mode,linear_mode,compile_scope,precision_mode,forward_ms,fwd_bwd_ms,max_mem_gb,energy_max_abs,force_max_abs,error
ok,sdpa,spatial_recompute,none,fp32_highest,572.4564790143631,6020.894365035929,35.53657913208008,0.002558588981628418,2.3829234123695642e-05,
ok,sdpa,spatial_fast,none,fp32_highest,555.9953789925203,5960.9970260062255,30.023523330688477,0.002558588981628418,2.3830118152545765e-05,
ok,sdpa,ffn_fourier_scaffold,none,fp32_highest,497.7663240279071,5885.56535897078,29.252163887023926,0.002558588981628418,2.3831924409023486e-05,
ok,sdpa,ffn_fourier_direct,none,fp32_highest,496.9697000342421,5893.7643600511365,29.201280117034912,0.002558588981628418,2.383992978138849e-05,
ok,sdpa,all_fourier_scaffold,none,fp32_highest,480.37746601039544,5854.433978034649,28.903109550476074,0.0025577545166015625,2.382326783845201e-05,
ok,sdpa,all_fourier_direct,none,fp32_highest,479.00556097738445,5857.38769301679,28.806519508361816,0.002557814121246338,2.382229286013171e-05,
ok,flash,spatial_recompute,none,fp32_highest,557.7367030200548,1519.8504619766027,32.738441944122314,0.002559661865234375,2.3758837414789014e-05,
ok,flash,spatial_fast,none,fp32_highest,536.8308409815654,1480.485767009668,27.240310192108154,0.0025597214698791504,2.378002682235092e-05,
ok,flash,ffn_fourier_scaffold,none,fp32_highest,477.08752896869555,1271.3126129820012,26.477136611938477,0.0025595426559448242,2.3778588001732714e-05,
ok,flash,ffn_fourier_direct,none,fp32_highest,475.5213109892793,1270.1135060051456,26.417057037353516,0.0025595426559448242,2.3751283151796088e-05,
ok,flash,all_fourier_scaffold,none,fp32_highest,434.90887799998745,1179.0964500396512,26.13348913192749,0.0025590062141418457,2.3819395210011862e-05,
ok,flash,all_fourier_direct,none,fp32_highest,431.5166529850103,1177.8088500141166,26.030235290527344,0.0025588274002075195,2.3818565750843845e-05,
ok,triton_tf32,spatial_recompute,none,fp32_highest,560.9141750028357,1541.7649220325984,34.11561632156372,0.0025563836097717285,2.3812772269593552e-05,
ok,triton_tf32,spatial_fast,none,fp32_highest,540.660971950274,1504.3740879627876,28.617487907409668,0.002556443214416504,2.3820375645300373e-05,
ok,triton_tf32,ffn_fourier_scaffold,none,fp32_highest,478.5109719960019,1289.256822958123,27.853453159332275,0.002556324005126953,2.3817263354430906e-05,
ok,triton_tf32,ffn_fourier_direct,none,fp32_highest,474.0337510011159,1288.99797500344,27.79426097869873,0.0025563836097717285,2.3823173251003027e-05,
ok,triton_tf32,all_fourier_scaffold,none,fp32_highest,430.94024900346994,1168.3034810121171,27.510986804962158,0.0025557875633239746,2.3822674847906455e-05,
ok,triton_tf32,all_fourier_direct,none,fp32_highest,429.6183409751393,1168.8953470438719,27.407169342041016,0.00255584716796875,2.382693492108956e-05,
ok,triton_tf32x3,spatial_recompute,none,fp32_highest,572.6403020089492,1590.6966719776392,34.11561632156372,0.002558588981628418,2.3831840735510923e-05,
ok,triton_tf32x3,spatial_fast,none,fp32_highest,547.6144829881378,1541.4845020277426,28.617487907409668,0.0025586485862731934,2.382965431024786e-05,
ok,triton_tf32x3,ffn_fourier_scaffold,none,fp32_highest,488.6389300227165,1331.3547360012308,27.853453159332275,0.002558588981628418,2.3834110834286548e-05,
ok,triton_tf32x3,ffn_fourier_direct,none,fp32_highest,483.8128790142946,1333.2894699997269,27.79426097869873,0.002558588981628418,2.3835498723201454e-05,
ok,triton_tf32x3,all_fourier_scaffold,none,fp32_highest,439.6921110455878,1199.4226839742623,27.510986804962158,0.0025578737258911133,2.3823075025575235e-05,
ok,triton_tf32x3,all_fourier_direct,none,fp32_highest,434.77328901644796,1199.9809709959663,27.407169342041016,0.0025578737258911133,2.3825157768442295e-05,
ok,triton_ieee,spatial_recompute,none,fp32_highest,583.289434958715,1616.5644220309332,34.11561632156372,0.002558588981628418,2.3823973606340587e-05,
ok,triton_ieee,spatial_fast,none,fp32_highest,564.3089429941028,1578.4558770246804,28.617487907409668,0.002558588981628418,2.383422543061897e-05,
ok,triton_ieee,ffn_fourier_scaffold,none,fp32_highest,495.5399979953654,1367.384728975594,27.853453159332275,0.002558588981628418,2.3836490072426386e-05,
ok,triton_ieee,ffn_fourier_direct,none,fp32_highest,495.1019320287742,1365.793032979127,27.79426097869873,0.002558588981628418,2.38402935792692e-05,
ok,triton_ieee,all_fourier_scaffold,none,fp32_highest,449.573743971996,1245.7000130089,27.510986804962158,0.002557694911956787,2.382228194619529e-05,
ok,triton_ieee,all_fourier_direct,none,fp32_highest,448.9841810427606,1244.2482670303434,27.407169342041016,0.0025577545166015625,2.3822274670237675e-05,
ok,triton_bf16compat,spatial_recompute,none,fp32_highest,569.6173909818754,1547.8304990101606,32.74061632156372,0.002558887004852295,2.3717315343674272e-05,
ok,triton_bf16compat,spatial_fast,none,fp32_highest,544.1086840000935,1496.1775990086608,27.24248456954956,0.002558767795562744,2.3733486159471795e-05,
ok,triton_bf16compat,ffn_fourier_scaffold,none,fp32_highest,480.6348569691181,1288.7014239677228,26.479310989379883,0.002558887004852295,2.372539893258363e-05,
ok,triton_bf16compat,ffn_fourier_direct,none,fp32_highest,485.1618430111557,1288.5136550175957,26.419231414794922,0.0025589466094970703,2.3715620045550168e-05,
ok,triton_bf16compat,all_fourier_scaffold,none,fp32_highest,438.9256649883464,1173.974598001223,26.135663509368896,0.0025581717491149902,2.374848918407224e-05,
