status,attention_mode,linear_mode,compile_scope,precision_mode,forward_ms,fwd_bwd_ms,max_mem_gb,energy_max_abs,force_max_abs,error
ok,flash,spatial_recompute,none,fp32_high,22.200115025043488,116.55309301568195,3.072295665740967,0.0,7.275957614183426e-12,
ok,flash,ffn_fourier_direct,none,fp32_high,21.227507037110627,81.88352402066812,2.009856700897217,2.9921531677246094e-05,1.465138848288916e-05,
ok,triton_tf32x3,spatial_recompute,none,fp32_high,21.997460979036987,782.7868959866464,3.137702465057373,2.9861927032470703e-05,1.2944143236381933e-05,
ok,triton_tf32x3,ffn_fourier_direct,none,fp32_high,20.937713037710637,78.57321394840255,2.0576319694519043,3.9011240005493164e-05,1.5433630323968828e-05,
